OG	n_genes	n_sepecies	1841596_4	2012493_3	2026747_106	2026747_11	2026747_12	2026747_123	2026747_124	2026747_147	2026747_149	2026747_155	2026747_166	2026747_167	2026747_168	2026747_169	2026747_172	2026747_173	2026747_174	2026747_179	2026747_182	2026747_189	2026747_193	2026747_195	2026747_196	2026747_22	2026747_25	2026747_3	2026747_36	2026747_41	2026747_43	2026747_59	2026747_65	2026747_66	2026747_7	2876572_6	2876573_6
0	2	2																						JAYPOQ010000010_9	JAYPQJ010000001_700												
1	2	2																						JAYPOQ010000001_197	JAYPQJ010000001_1048												
2	2	2			JAGLRO010000010_22																DAOVHD010000010_10																
3	2	2														JAUWKS010000001_106											JABCTZ010000026_180										
4	2	2																											DXJV01000001_30			JAIZWM010000005_107					
5	2	2										JAHQWT010000052_202						DAOWEK010000030_10																			
6	2	2																						JAYPOQ010000002_63	JAYPQJ010000001_802												
7	2	2																						JAYPOQ010000005_8	JAYPQJ010000001_609												
8	2	2																	DAOWED010000080_6												JAHLWR010000020_30						
9	2	2												JAUWEG010000007_40						DAOVER010000006_82																	
10	2	2														JAUWKS010000005_68											JABCTZ010000036_300										
11	2	2														JAUWKS010000004_80											JABCTZ010000007_77										
12	2	2																						JAYPOQ010000001_1	JAYPQJ010000001_1255												
13	2	2														JAUWKS010000001_107											JABCTZ010000026_181										
14	2	2											JAUWJS010000010_13					DAOWEK010000041_10																			
15	2	2																					JAYNJJ010000211_4		JAYPQJ010000001_500												
16	2	2														JAUWKS010000009_20											JABCTZ010000017_114										
17	2	2										JAHQWT010000001_1	JAUWJS010000069_10																								
18	2	2																						JAYPOQ010000009_28	JAYPQJ010000001_1328												
19	2	2											JAUWJS010000014_10							DAOVER010000030_2																	
20	2	2														JAUWKS010000032_6											JABCTZ010000006_110										
21	2	2																						JAYPOQ010000010_2	JAYPQJ010000001_693												
22	2	2	MEHH01000040_12									JAHQWT010000050_107																									
23	2	2														JAUWKS010000008_10											JABCTZ010000041_2										
24	2	2														JAUWKS010000056_16											JABCTZ010000001_20										
25	2	2																											DXJV01000005_71			JAIZWM010000002_108					
26	2	2																									JABCTZ010000036_330					JAIZWM010000008_116					
27	2	2																											DXJV01000001_53			JAIZWM010000005_130					
28	2	2										JAHQWT010000050_83																			JAHLWR010000006_151						
29	2	2															DAOVPS010000006_5										JABCTZ010000001_13										
30	2	2									JALSYK010000307_10											WAKA01000060_10															
31	2	2						BPTN01000006_10													DAOVHD010000005_1																
32	2	2																											DXJV01000080_2			JAIZWM010000002_120					
33	2	2							BPTO01000002_54																						JAHLWR010000001_230						
34	2	2												JAUWEG010000022_18				DAOWEK010000003_60																			
35	2	2											JAUWJS010000024_10																					JAAFKI010000070_27			
36	2	2														JAUWKS010000010_20											JABCTZ010000025_77										
37	2	2			JAGLRO010000002_1																DAOVHD010000009_27																
38	2	2														JAUWKS010000008_30											JABCTZ010000041_23										
39	2	2														JAUWKS010000030_10											JABCTZ010000037_72										
40	2	2														JAUWKS010000007_46											JABCTZ010000036_210										
41	2	2					RDOB01000002_80																								JAHLWR010000010_34						
42	2	2			JAGLRO010000015_30																DAOVHD010000005_25																
43	2	2																									JABCTZ010000003_96					JAIZWM010000009_21					
44	2	2															DAOVPS010000002_44															JAIZWM010000009_19					
45	2	2														JAUWKS010000002_60											JABCTZ010000019_74										
